effect_subset,atlas,period,survey,site,X,Y,expected_richness,dominant_variable,dominant_variable_label,dominant_negative_importance,total_site_negative_importance,relative_negative_dominance,n_species_contributing
negative,1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,46.93829583095509,perc_cropland,Cropland (% coverage),0.007395911075908749,0.016451294236562112,0.44956408715076873,157
negative,1,1970s,AD91_1,AD91,447500.05017916387,6257499.546271402,42.68971837608554,perc_cropland,Cropland (% coverage),0.0054681172431460725,0.01301074954739558,0.4202768812993291,157
negative,1,1970s,AD92_1,AD92,447500.02377636905,6262499.551973275,32.01136812689959,prec_breeding,Precipitation,0.0015976198962025115,0.0033646932701453165,0.47481888182143644,157
negative,1,1970s,AD93_1,AD93,447499.9924736935,6267499.595406948,40.9921282640114,perc_cropland,Cropland (% coverage),0.00392520767999908,0.009981519854090556,0.3932474951087212,157
negative,1,1970s,AD94_1,AD94,447499.9570043505,6272499.676545255,42.48671816511489,perc_cropland,Cropland (% coverage),0.005000896078064891,0.012161033585207882,0.4112229477063322,157
negative,1,1970s,AD95_1,AD95,447499.9167107371,6277499.684056323,34.4390190437221,perc_cropland,Cropland (% coverage),0.008164694348196173,0.017762590585719197,0.45965673243408767,157
negative,1,1970s,AE93_1,AE93,447500.1701742312,6217499.746982312,24.104145313035463,perc_cropland,Cropland (% coverage),0.005020445763833375,0.011643335960706984,0.4311861979054784,157
negative,1,1970s,AE94_1,AE94,447500.1510277113,6222499.78450804,45.51355100216228,perc_cropland,Cropland (% coverage),0.003921141115844223,0.009672408877753768,0.40539447467556117,157
negative,1,1970s,AE95_1,AE95,447500.18198725476,6227499.747924402,47.89257933531226,perc_cropland,Cropland (% coverage),0.0052679552768016575,0.01274902885509662,0.4132044359359742,157
negative,1,1970s,AE96_1,AE96,447500.139576756,6232499.638727918,25.217111712572418,perc_cropland,Cropland (% coverage),0.004553884496672345,0.011651757538925094,0.39083241145888564,157
negative,1,1970s,AE97_1,AE97,447500.1513174165,6237499.67796077,25.369267845765187,perc_cropland,Cropland (% coverage),0.002174670698033331,0.00516989420582238,0.4206412378002238,157
negative,1,1970s,AE98_1,AE98,447500.15313399426,6242499.6437634,66.24285829246112,perc_cropland,Cropland (% coverage),0.005813420650325766,0.012940443798554083,0.44924430265485454,157
negative,1,1970s,AF81_1,AF81,442500.1384771916,6157499.787446427,54.959608759129715,perc_cropland,Cropland (% coverage),0.003748529491139445,0.009039711892039391,0.4146735577314692,157
negative,1,1970s,AF82_1,AF82,442500.15165183047,6162499.8084204225,44.94405006314836,perc_cropland,Cropland (% coverage),0.002193315776229771,0.005419538329279877,0.40470527985383004,157
negative,1,1970s,AF91_1,AF91,447500.16279772675,6157499.807246089,54.38994437975713,prec_breeding,Precipitation,0.0017962634428572782,0.005001933072578294,0.359113849944293,157
negative,1,1970s,AF92_1,AF92,447500.2057250942,6162499.834014087,74.91520361967868,prec_breeding,Precipitation,0.001959522360584339,0.004630975432929521,0.4231338276274896,157
negative,1,1970s,AF93_1,AF93,447500.1653840631,6167499.788514787,79.46199694963092,prec_breeding,Precipitation,0.0019587887739016883,0.004587908084733298,0.42694594959732185,157
negative,1,1970s,AF94_1,AF94,447500.1697669054,6172499.780493908,49.53045843538721,perc_cropland,Cropland (% coverage),0.001413908665643327,0.003945371801023283,0.35837146331218056,157
negative,1,1970s,AF96_1,AF96,447500.12389998813,6182499.65648123,42.165855415110386,perc_cropland,Cropland (% coverage),0.0029725367889340904,0.007714076083508368,0.3853393143592354,157
negative,1,1970s,AF97_1,AF97,447500.13908220717,6187499.650967309,36.92945715454009,perc_cropland,Cropland (% coverage),0.004365077516235946,0.010551292667915747,0.4137007335138399,157
negative,1,1970s,AF98_1,AF98,447500.13873657817,6192499.683587027,46.01732574582625,perc_cropland,Cropland (% coverage),0.00744589770618879,0.016317133596644544,0.456323879564237,157
negative,1,1970s,AF99_1,AF99,447500.1235891788,6197499.754315107,46.3930924156899,perc_cropland,Cropland (% coverage),0.006766929547291283,0.014977755653987361,0.45179863416250876,157
negative,1,1970s,BC10_1,BC10,457500.06312543934,6302499.745828598,33.5582751850008,prec_breeding,Precipitation,5.159202108831938e-4,0.0013377013356928855,0.3856766806739892,157
negative,1,1970s,BC11_1,BC11,457500.0287272008,6307499.784091797,24.232943564663486,perc_cropland,Cropland (% coverage),0.00125977543678032,0.002964092723254986,0.4250121552867318,157
negative,1,1970s,BC20_1,BC20,462500.0832758646,6302499.782276433,59.56873035245686,prec_breeding,Precipitation,0.0017047947263779675,0.0038667199025822167,0.4408891177350333,157
negative,1,1970s,BC21_1,BC21,462500.08463837503,6307499.738256342,45.60410878663012,prec_breeding,Precipitation,8.699931789328303e-4,0.0018247452807859594,0.4767751357373586,157
