"group","species"
"Aquatic pursuers","Alca_torda"
"Aquatic pursuers","Cepphus_grylle"
"Aquatic pursuers","Mergus_merganser"
"Aquatic pursuers","Mergus_serrator"
"Aquatic pursuers","Phalacrocorax_carbo"
"Aquatic pursuers","Podiceps_cristatus"
"Aquatic pursuers","Podiceps_grisegena"
"Aquatic pursuers","Podiceps_nigricollis"
"Aquatic pursuers","Tachybaptus_ruficollis"
"Aquatic pursuers","Uria_aalge"
"Dabbling ducks","Anas_acuta"
"Dabbling ducks","Anas_crecca"
"Dabbling ducks","Anas_platyrhynchos"
"Dabbling ducks","Mareca_strepera"
"Dabbling ducks","Netta_rufina"
"Dabbling ducks","Spatula_clypeata"
"Dabbling ducks","Spatula_querquedula"
"Dabbling ducks","Tadorna_tadorna"
"Scolopacids","Actitis_hypoleucos"
"Scolopacids","Arenaria_interpres"
"Scolopacids","Calidris_alpina"
"Scolopacids","Calidris_pugnax"
"Scolopacids","Gallinago_gallinago"
"Scolopacids","Limosa_limosa"
"Scolopacids","Numenius_arquata"
"Scolopacids","Scolopax_rusticola"
"Scolopacids","Tringa_glareola"
"Scolopacids","Tringa_ochropus"
"Scolopacids","Tringa_totanus"
