"comparison_id","comparison_label","start_period","end_period","species","occupied_grid_cells_start","occupied_grid_cells_end","n_shared_grid_cells","records_1970s","records_1990s","records_2010s","prop_occupied_start","prop_occupied_end","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","foraging_guild_consensus","species_english"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acrocephalus_schoenobaenus",621,270,894,621,270,291,0.694630872483222,0.302013422818792,-351,-0.39261744966443,-39.261744966443,"Decrease","Marsh warblers","Sedge Warbler"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acanthis_flammea",66,416,894,66,416,451,0.0738255033557047,0.465324384787472,350,0.391498881431767,39.1498881431767,"Increase","Passerine seedeaters","Lesser Redpoll"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Accipiter_nisus",361,637,894,361,637,394,0.403803131991051,0.712527964205817,276,0.308724832214765,30.8724832214765,"Increase","Diurnal raptors","Eurasian Sparrowhawk"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Emberiza_calandra",759,491,894,759,491,523,0.848993288590604,0.549217002237136,-268,-0.299776286353468,-29.9776286353468,"Decrease","Buntings","Corn Bunting"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Turdus_viscivorus",262,497,894,262,497,453,0.293064876957494,0.55592841163311,235,0.262863534675615,26.2863534675615,"Increase","Thrushes","Mistle Thrush"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Buteo_buteo",496,730,894,496,730,744,0.554809843400447,0.8165548098434,234,0.261744966442953,26.1744966442953,"Increase","Diurnal raptors","Common Buzzard"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Phylloscopus_collybita",607,839,894,607,839,888,0.678970917225951,0.938478747203579,232,0.259507829977629,25.9507829977629,"Increase","Foliage gleaners","Common Chiffchaff"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Falco_tinnunculus",427,647,894,427,647,517,0.477628635346756,0.723713646532439,220,0.246085011185682,24.6085011185682,"Increase","Diurnal raptors","Common Kestrel"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Astur_gentilis",127,332,894,127,332,253,0.142058165548098,0.371364653243848,205,0.229306487695749,22.9306487695749,"Increase","Diurnal raptors","Northern Goshawk"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Turdus_pilaris",38,235,894,38,235,138,0.0425055928411633,0.262863534675615,197,0.220357941834452,22.0357941834452,"Increase","Thrushes","Fieldfare"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Tachybaptus_ruficollis",207,402,894,207,402,439,0.231543624161074,0.449664429530201,195,0.218120805369128,21.8120805369128,"Increase","Aquatic pursuers","Little Grebe"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Circus_aeruginosus",69,257,894,69,257,362,0.0771812080536913,0.287472035794183,188,0.210290827740492,21.0290827740492,"Increase","Diurnal raptors","Western Marsh Harrier"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Corvus_corax",79,262,894,79,262,560,0.0883668903803132,0.293064876957494,183,0.204697986577181,20.4697986577181,"Increase","Omnivorous corvids","Common Raven"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Phoenicurus_ochruros",82,265,894,82,265,338,0.0917225950782998,0.296420581655481,183,0.204697986577181,20.4697986577181,"Increase","Low flycatching feeders","Black Redstart"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Certhia_familiaris",366,544,894,366,544,553,0.409395973154362,0.608501118568233,178,0.19910514541387,19.910514541387,"Increase","Tit-like birds","Eurasian Treecreeper"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Streptopelia_decaocto",554,731,894,554,731,669,0.619686800894855,0.817673378076063,177,0.197986577181208,19.7986577181208,"Increase","Columbids","Eurasian Collared Dove"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Loxia_curvirostra",90,255,894,90,255,177,0.100671140939597,0.285234899328859,165,0.184563758389262,18.4563758389262,"Increase","Passerine seedeaters","Red Crossbill"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Pyrrhula_pyrrhula",426,590,894,426,590,655,0.476510067114094,0.659955257270693,164,0.1834451901566,18.34451901566,"Increase","Passerine seedeaters","Eurasian Bullfinch"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Garrulus_glandarius",540,697,894,540,697,524,0.604026845637584,0.779642058165548,157,0.175615212527964,17.5615212527964,"Increase","Omnivorous corvids","Eurasian Jay"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Anser_anser",150,300,894,150,300,588,0.167785234899329,0.335570469798658,150,0.167785234899329,16.7785234899329,"Increase","Grazing waterfowl","Greylag Goose"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Asio_otus",232,379,894,232,379,295,0.259507829977629,0.423937360178971,147,0.164429530201342,16.4429530201342,"Increase","Owls","Long-eared Owl"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Dendrocopos_major",652,799,894,652,799,811,0.72930648769575,0.893736017897092,147,0.164429530201342,16.4429530201342,"Increase","Woodpeckers","Great Spotted Woodpecker"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acrocephalus_palustris",481,623,894,481,623,719,0.538031319910515,0.696868008948546,142,0.158836689038031,15.8836689038031,"Increase","Marsh warblers","Marsh Warbler"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Columba_oenas",34,173,894,34,173,386,0.0380313199105145,0.193512304250559,139,0.155480984340045,15.5480984340045,"Increase","Columbids","Stock Dove"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Aythya_fuligula",92,229,894,92,229,207,0.102908277404922,0.256152125279642,137,0.15324384787472,15.324384787472,"Increase","Diving ducks","Tufted Duck"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Coccothraustes_coccothraustes",232,367,894,232,367,376,0.259507829977629,0.410514541387025,135,0.151006711409396,15.1006711409396,"Increase","Passerine seedeaters","Hawfinch"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Carduelis_carduelis",522,657,894,522,657,702,0.583892617449664,0.73489932885906,135,0.151006711409396,15.1006711409396,"Increase","Passerine seedeaters","European Goldfinch"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Podiceps_grisegena",174,307,894,174,307,362,0.194630872483221,0.343400447427293,133,0.148769574944072,14.8769574944072,"Increase","Aquatic pursuers","Red-necked Grebe"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Gallinago_gallinago",507,376,894,507,376,256,0.567114093959732,0.420581655480984,-131,-0.146532438478747,-14.6532438478747,"Decrease","Scolopacids","Common Snipe"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Muscicapa_striata",419,548,894,419,548,503,0.468680089485459,0.612975391498881,129,0.144295302013423,14.4295302013423,"Increase","Flycatchers","Spotted Flycatcher"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Riparia_riparia",506,378,894,506,378,268,0.565995525727069,0.422818791946309,-128,-0.143176733780761,-14.3176733780761,"Decrease","Aerial insectivores","Sand Martin"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Athene_noctua",158,32,894,158,32,6,0.176733780760626,0.0357941834451902,-126,-0.140939597315436,-14.0939597315436,"Decrease","Owls","Little Owl"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Corvus_frugilegus",180,304,894,180,304,411,0.201342281879195,0.340044742729307,124,0.138702460850112,13.8702460850112,"Increase","Omnivorous corvids","Rook"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Oenanthe_oenanthe",259,137,894,259,137,64,0.289709172259508,0.15324384787472,-122,-0.136465324384787,-13.6465324384787,"Decrease","Low flycatching feeders","Northern Wheatear"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Locustella_naevia",145,265,894,145,265,286,0.162192393736018,0.296420581655481,120,0.134228187919463,13.4228187919463,"Increase","Marsh warblers","Common Grasshopper Warbler"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Motacilla_flava",297,178,894,297,178,224,0.332214765100671,0.19910514541387,-119,-0.133109619686801,-13.3109619686801,"Decrease","Open-land insectivores","Western Yellow Wagtail"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Fulica_atra",708,824,894,708,824,656,0.791946308724832,0.921700223713647,116,0.129753914988814,12.9753914988814,"Increase","Rails","Eurasian Coot"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Rallus_aquaticus",177,286,894,177,286,351,0.197986577181208,0.319910514541387,109,0.121923937360179,12.1923937360179,"Increase","Rails","Water Rail"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Chroicocephalus_ridibundus",322,214,894,322,214,137,0.360178970917226,0.239373601789709,-108,-0.120805369127517,-12.0805369127517,"Decrease","Gulls","Black-headed Gull"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Anas_platyrhynchos",758,865,894,758,865,741,0.847874720357942,0.967561521252796,107,0.119686800894855,11.9686800894855,"Increase","Dabbling ducks","Mallard"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Phoenicurus_phoenicurus",531,637,894,531,637,849,0.593959731543624,0.712527964205817,106,0.118568232662192,11.8568232662192,"Increase","Low flycatching feeders","Common Redstart"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Certhia_brachydactyla",24,130,894,24,130,302,0.0268456375838926,0.145413870246085,106,0.118568232662192,11.8568232662192,"Increase","Tit-like birds","Short-toed Treecreeper"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Periparus_ater",630,732,894,630,732,726,0.704697986577181,0.818791946308725,102,0.114093959731544,11.4093959731544,"Increase","Tit-like birds","Coal Tit"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Sitta_europaea",445,547,894,445,547,705,0.497762863534676,0.611856823266219,102,0.114093959731544,11.4093959731544,"Increase","Tit-like birds","Eurasian Nuthatch"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Haematopus_ostralegus",299,400,894,299,400,423,0.334451901565996,0.447427293064877,101,0.112975391498881,11.2975391498881,"Increase","Plovers","Eurasian Oystercatcher"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acrocephalus_scirpaceus",617,717,894,617,717,668,0.690156599552573,0.802013422818792,100,0.111856823266219,11.1856823266219,"Increase","Marsh warblers","Eurasian Reed Warbler"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Corvus_cornix",748,844,894,748,844,782,0.83668903803132,0.94407158836689,96,0.107382550335571,10.7382550335571,"Increase","Omnivorous corvids","Hooded Crow"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Spinus_spinus",87,183,894,87,183,102,0.0973154362416107,0.204697986577181,96,0.10738255033557,10.738255033557,"Increase","Passerine seedeaters","Eurasian Siskin"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Oriolus_oriolus",135,43,894,135,43,14,0.151006711409396,0.0480984340044743,-92,-0.102908277404922,-10.2908277404922,"Decrease","Orioles","Eurasian Golden Oriole"
