variable,species,vp_from,vp_to,from_atlas,to_atlas,comparison,vp_delta,delta_direction,species_label,species_thermal_index,thermal_group,migratory_strategy,foraging_guild,variable_clean
tmean_breeding,Accipiter_nisus,0.004773555239699325,0.001165431939694475,1,3,1970s to 2010s,-0.0036081233000048504,decrease,Accipiter nisus,11.9162821341,medium,sedentary and short-distance,Diurnal raptors,Temperature
tmean_breeding,Astur_gentilis,0.00989008179110103,0.0030672017744815165,1,3,1970s to 2010s,-0.006822880016619514,decrease,Astur gentilis,11.8007973825,cold,sedentary,Diurnal raptors,Temperature
tmean_breeding,Buteo_buteo,9.875959676728671e-4,0.002777907952289702,1,3,1970s to 2010s,0.0017903119846168348,increase,Buteo buteo,12.6973693303,warm,sedentary and short-distance,Diurnal raptors,Temperature
tmean_breeding,Circus_aeruginosus,0.054956172372452046,0.016785984156206146,1,3,1970s to 2010s,-0.038170188216245904,decrease,Circus aeruginosus,13.2259231132,very warm,short-and long-distance,Diurnal raptors,Temperature
tmean_breeding,Circus_pygargus,0.1329039422645961,0.0785977533503875,1,3,1970s to 2010s,-0.05430618891420859,decrease,Circus pygargus,13.6904029809,very warm,long-distance,Diurnal raptors,Temperature
tmean_breeding,Pernis_apivorus,0.004065972881188234,0.0013773224445867436,1,3,1970s to 2010s,-0.00268865043660149,decrease,Pernis apivorus,11.9608484505,medium,long-distance,Diurnal raptors,Temperature
tmean_breeding,Anas_acuta,0.030496990310719927,0.01055657472892312,1,3,1970s to 2010s,-0.019940415581796808,decrease,Anas acuta,8.5273453088,very cold,short-distance,Dabbling ducks,Temperature
tmean_breeding,Anas_crecca,0.016183298672391842,0.008751208037049008,1,3,1970s to 2010s,-0.0074320906353428345,decrease,Anas crecca,10.071290709,very cold,short-distance,Dabbling ducks,Temperature
tmean_breeding,Anas_platyrhynchos,0.001250862187123816,0.0021369995681342247,1,3,1970s to 2010s,8.861373810104087e-4,increase,Anas platyrhynchos,11.8110548425,cold,sedentary and short-distance,Dabbling ducks,Temperature
tmean_breeding,Anser_anser,0.0011844338201181415,0.002037747726955888,1,3,1970s to 2010s,8.533139068377467e-4,increase,Anser anser,11.1956416463,cold,sedentary and short-distance,Grazing waterfowl,Temperature
