response,atlas,period,bandwidth,bandwidth_value,model_id,model_type,predictor,model_label,survey,site,X,Y,observed,fitted,residual,coefficient,local_se,local_t,abs_local_t,local_r2,supported,direction,dominant_driver,direction_plot
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AD90_1,AD90,447500.0709493527,6252499.57832838,46.93829583095509,49.12497464010188,-2.186678809146791,2.915448062523498,0.7179550960327987,4.06076658363925,4.06076658363925,0.3164508038408523,TRUE,Positive,Land-use heterogeneity,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AD91_1,AD91,447500.05017916387,6257499.546271402,42.68971837608554,47.31692611355233,-4.62720773746679,2.960697832295631,0.7266515821140311,4.074439394574962,4.074439394574962,0.30900851125548295,TRUE,Positive,Land-use heterogeneity,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AD92_1,AD92,447500.02377636905,6262499.551973275,32.01136812689959,46.08748476744606,-14.076116640546466,3.011012603816879,0.7369059830503815,4.086020025720186,4.086020025720186,0.30051484430582515,TRUE,Positive,Land-use heterogeneity,Positive
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,AD93_1,AD93,447499.9924736935,6267499.595406948,40.9921282640114,47.774875449509175,-6.782747185497776,-6.624489746934302,1.58090870568595,-4.190305058798422,4.190305058798422,0.28276488343850753,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,AD94_1,AD94,447499.9570043505,6272499.676545255,42.48671816511489,50.651040995126856,-8.164322830011969,-7.256842975213914,1.643692440292107,-4.414964014754654,4.414964014754654,0.2711239289338769,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,AD95_1,AD95,447499.9167107371,6277499.684056323,34.4390190437221,50.63770148172027,-16.198682437998173,-7.859012073781344,1.714680183747495,-4.583369043552595,4.583369043552595,0.2586065145959884,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AE93_1,AE93,447500.1701742312,6217499.746982312,24.104145313035463,44.865761913186304,-20.76161660015084,2.3248110517697853,0.5540324813432844,4.196163817206427,4.196163817206427,0.3244343565847213,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AE94_1,AE94,447500.1510277113,6222499.78450804,45.51355100216228,46.47521509178605,-0.9616640896237669,2.2808431060225214,0.5556398971720449,4.104894406666941,4.104894406666941,0.32507443691252935,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AE95_1,AE95,447500.18198725476,6227499.747924402,47.89257933531226,45.75772916948195,2.134850165830315,2.230549189292921,0.5592230854031319,3.988657205889427,3.988657205889427,0.3241607776555112,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AE96_1,AE96,447500.139576756,6232499.638727918,25.217111712572418,50.47728090975569,-25.260169197183274,2.7842524901838215,0.6980134670183569,3.9888234564829665,3.9888234564829665,0.3346236718224865,TRUE,Positive,Land-use heterogeneity,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AE97_1,AE97,447500.1513174165,6237499.67796077,25.369267845765187,50.61621592257913,-25.246948076813943,2.807384222777732,0.7007297110405062,4.0063724693635105,4.0063724693635105,0.33200382337518314,TRUE,Positive,Land-use heterogeneity,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AE98_1,AE98,447500.15313399426,6242499.6437634,66.24285829246112,50.315724396874245,15.927133895586877,2.8377690038329964,0.70506600681872,4.024827429473021,4.024827429473021,0.3280557348698439,TRUE,Positive,Land-use heterogeneity,Positive
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF81_1,AF81,442500.1384771916,6157499.787446427,54.959608759129715,51.090999671570636,3.8686090875590793,2.5772624221704916,0.6268252124822076,4.111612568940257,4.111612568940257,0.20850758907570802,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF82_1,AF82,442500.15165183047,6162499.8084204225,44.94405006314836,48.34759230193732,-3.4035422387889582,2.574942509519909,0.6167827710721575,4.174796427993392,4.174796427993392,0.22073564111871313,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF91_1,AF91,447500.16279772675,6157499.807246089,54.38994437975713,51.9424474545671,2.4474969251900305,2.3923229099676133,0.5990832622691301,3.9933062073980867,3.9933062073980867,0.20494775279847893,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF92_1,AF92,447500.2057250942,6162499.834014087,74.91520361967868,53.51535079217388,21.3998528275048,2.4015378899170905,0.5901384915612152,4.06944797578583,4.06944797578583,0.21696412878357973,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF93_1,AF93,447500.1653840631,6167499.788514787,79.46199694963092,51.305969465961624,28.15602748366929,2.41194666337735,0.5829612482428347,4.137404794310863,4.137404794310863,0.22932795809561682,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF94_1,AF94,447500.1697669054,6172499.780493908,49.53045843538721,47.18518632312221,2.3452721122650004,2.4221903162931735,0.5772125260705145,4.19635785242344,4.19635785242344,0.24195852888440916,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF96_1,AF96,447500.12389998813,6182499.65648123,42.165855415110386,46.053625856680476,-3.8877704415700904,2.427437385922932,0.5687659761838403,4.267901892110227,4.267901892110227,0.26715120561957767,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF97_1,AF97,447500.13908220717,6187499.650967309,36.92945715454009,45.98662059325663,-9.057163438716543,2.421219431426829,0.56536342944815,4.2825894023428015,4.2825894023428015,0.2795078490451953,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF98_1,AF98,447500.13873657817,6192499.683587027,46.01732574582625,45.26503548172119,0.7522902641050564,2.4115281057892055,0.562147180805007,4.28985181840785,4.28985181840785,0.29137240181081064,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF99_1,AF99,447500.1235891788,6197499.754315107,46.3930924156899,44.94386347969204,1.4492289359978585,2.399843638254467,0.5593592394928681,4.290344145258487,4.290344145258487,0.3020238666429744,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC10_1,BC10,457500.06312543934,6302499.745828598,33.5582751850008,45.662084488175225,-12.103809303174422,-9.120364808114488,1.842708080189797,-4.949435510791867,4.949435510791867,0.17481358786912424,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC11_1,BC11,457500.0287272008,6307499.784091797,24.232943564663486,45.87732783218094,-21.644384267517452,-9.055613092399,1.9452342307895698,-4.655281584636381,4.655281584636381,0.15771860533752644,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC20_1,BC20,462500.0832758646,6302499.782276433,59.56873035245686,50.70194730818136,8.8667830442755,-8.867844358779962,1.6754385267863634,-5.292849732773698,5.292849732773698,0.16896876154499788,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC21_1,BC21,462500.08463837503,6307499.738256342,45.60410878663012,47.613516169351875,-2.0094073827217542,-8.731347420370355,1.7642556143300914,-4.9490262915704255,4.9490262915704255,0.15164768373123352,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC30_1,BC30,467500.03225555073,6302499.688678854,49.719615095507116,49.55800010696503,0.1616149885420839,-8.585039455042164,1.5230250690840819,-5.636833975559603,5.636833975559603,0.1620468595358355,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC31_1,BC31,467500.0700814336,6307499.683991895,48.03813369922538,50.228094810161934,-2.189961110936558,-8.386214194221168,1.601061324432359,-5.237909420611619,5.237909420611619,0.14454956513084313,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC32_1,BC32,467500.03942602925,6312499.716500132,49.67026934678592,48.11713580054453,1.5531335462413907,-8.086495568726008,1.684486871258874,-4.800569067470794,4.800569067470794,0.12763376666372125,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC33_1,BC33,467500.06162332307,6317499.67391025,49.637434989104285,45.95181566750667,3.6856193215976134,-7.684978428093018,1.7732150485521951,-4.333923533058043,4.333923533058043,0.11168939739386673,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC34_1,BC34,467500.01645873167,6322499.668462578,43.722820901829984,49.5483982194158,-5.825577317585818,3.5102451766925,0.8471701066493589,4.143495089287162,4.143495089287162,0.13811805805875596,TRUE,Positive,Land-use heterogeneity,Positive
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC40_1,BC40,472500.05137193855,6302499.68679326,28.954137115120925,47.96292242448435,-19.00878530936342,-8.250113087657041,1.389076227357212,-5.939280311026056,5.939280311026056,0.15428733785990956,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC41_1,BC41,472500.0641984955,6307499.732148187,31.281371466126988,48.84032704238239,-17.558955576255403,-7.988052494519451,1.4575457715115003,-5.480481402814336,5.480481402814336,0.1367717800935467,TRUE,Negative,Precipitation,Negative
richness,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC43_1,BC43,472500.07431792136,6317499.709834675,64.31553574480971,46.93807780275784,17.37745794205187,-7.160988525759791,1.609412546877844,-4.4494424625007705,4.4494424625007705,0.10435033840237828,TRUE,Negative,Precipitation,Negative
